time,open,high,low,close,volume
2020-12-10 14:52:00,366.28,366.33,366.265,366.33,298170
2020-12-10 14:53:00,366.32,366.45,366.32,366.43,90040
2020-12-10 14:54:00,366.41,366.44,366.3,366.39,129633
2020-12-10 14:55:00,366.385,366.39,366.22,366.22,562205
2020-12-10 14:56:00,366.23,366.4599,366.11,366.43,118853
2020-12-10 14:57:00,366.435,366.44,366.23,366.265,128855
2020-12-10 14:58:00,366.26,367.2041,365.94,365.94,1621831
2020-12-10 14:59:00,365.94,366.03,365.86,365.955,141976
2020-12-10 15:00:00,365.96,366.04,365.8,366.015,89538
2020-12-10 15:01:00,366.02,366.41,365.95,366.26,260878
2020-12-10 15:02:00,366.27,366.27,366.06,366.17,94506
2020-12-10 15:03:00,366.18,366.47,366.17,366.35,109501
2020-12-10 15:04:00,366.35,366.4599,366.35,366.38,96370
2020-12-10 15:05:00,366.38,366.39,366.3,366.34,65860
2020-12-10 15:06:00,366.34,366.39,366.22,366.2619,84561
2020-12-10 15:07:00,366.255,366.57,366.255,366.52,122275
2020-12-10 15:08:00,366.52,366.65,366.33,366.3324,214014
2020-12-10 15:09:00,366.34,366.39,366.28,366.37,62321
2020-12-10 15:10:00,366.38,366.4,366.26,366.27,111807
2020-12-10 15:11:00,366.28,366.4,366.22,366.24,134763
2020-12-10 15:12:00,366.26,366.38,366.26,366.35,75063
2020-12-10 15:13:00,366.3589,366.57,366.34,366.4701,244932
2020-12-10 15:14:00,366.474,366.72,366.474,366.64,147823
2020-12-10 15:15:00,366.64,366.68,366.56,366.62,82343
2020-12-10 15:16:00,366.62,366.89,366.57,366.85,228162
2020-12-10 15:17:00,366.85,367.2041,366.705,366.74,211745
2020-12-10 15:18:00,366.75,366.9,366.75,366.84,73528
2020-12-10 15:19:00,366.84,366.91,366.77,366.885,101300
2020-12-10 15:20:00,366.88,366.92,366.84,366.84,110242
2020-12-10 15:21:00,366.84,366.8699,366.75,366.865,195358
2020-12-10 15:22:00,366.87,366.93,366.84,366.88,79655
2020-12-10 15:23:00,366.875,366.97,366.85,366.96,75820
2020-12-10 15:24:00,366.97,366.97,366.88,366.914,63208
2020-12-10 15:25:00,366.92,367.03,366.915,366.935,115877
2020-12-10 15:26:00,366.9359,366.97,366.8101,366.92,94609
2020-12-10 15:27:00,366.93,366.95,366.82,366.835,61191
2020-12-10 15:28:00,366.83,366.94,366.72,366.755,185297
2020-12-10 15:29:00,366.76,366.95,366.75,366.916,147380
2020-12-10 15:30:00,366.91,366.96,366.76,366.895,70558
2020-12-10 15:31:00,366.89,367.12,366.89,367.0905,130174
2020-12-10 15:32:00,367.08,367.18,367.0002,367.07,171460
2020-12-10 15:33:00,367.075,367.075,366.89,366.9,256320
2020-12-10 15:34:00,366.91,366.975,366.81,366.81,143504
2020-12-10 15:35:00,366.81,366.89,366.75,366.83,120726
2020-12-10 15:36:00,366.8201,366.89,366.71,366.815,117906
2020-12-10 15:37:00,366.816,366.97,366.79,366.885,171994
2020-12-10 15:38:00,366.88,366.98,366.85,366.98,104851
2020-12-10 15:39:00,366.98,367.08,366.91,367.07,212982
2020-12-10 15:40:00,367.08,367.105,367.01,367.04,82882
2020-12-10 15:41:00,367.04,367.19,366.99,367.165,108044
2020-12-10 15:42:00,367.165,367.24,366.99,367.0411,172684
2020-12-10 15:43:00,367.055,367.17,367.055,367.095,109375
2020-12-10 15:44:00,367.1,367.17,367.07,367.09,79613
2020-12-10 15:45:00,367.09,367.09,366.92,367.0301,113578
2020-12-10 15:46:00,367.03,367.34,367.03,367.305,133932
2020-12-10 15:47:00,367.3,367.4,367.28,367.3401,176220
2020-12-10 15:48:00,367.35,367.43,367.33,367.39,272375
2020-12-10 15:49:00,367.39,367.39,367.25,367.3,195715
2020-12-10 15:50:00,367.3,367.305,367.09,367.15,217598
2020-12-10 15:51:00,367.15,367.41,367.11,367.33,308709
2020-12-10 15:52:00,367.325,367.46,367.3,367.405,306894
2020-12-10 15:53:00,367.4,367.42,367.24,367.31,327994
2020-12-10 15:54:00,367.3,367.47,367.29,367.3999,284420
2020-12-10 15:55:00,367.395,367.465,367.36,367.465,474692
2020-12-10 15:56:00,367.46,367.48,367.18,367.19,432414
2020-12-10 15:57:00,367.19,367.215,367.03,367.035,299576
2020-12-10 15:58:00,367.03,367.13,366.97,366.98,289087
2020-12-10 15:59:00,366.98,367.205,366.96,367.0082,794332
2020-12-10 16:00:00,367.01,367.16,366.67,366.72,1285868
2020-12-10 16:01:00,366.7,366.85,366.58,366.76,179826
2020-12-10 16:02:00,366.78,366.8,366.73,366.73,369955
2020-12-10 16:03:00,366.72,366.74,366.55,366.56,88710
2020-12-10 16:04:00,366.57,366.62,366.54,366.57,29532
2020-12-10 16:05:00,366.59,366.69,366.57,366.62,59347
2020-12-10 16:06:00,366.64,366.66,366.6,366.61,141923
2020-12-10 16:07:00,366.6,366.66,366.57,366.66,84303
2020-12-10 16:08:00,366.66,366.74,366.64,366.64,42483
2020-12-10 16:09:00,366.63,366.65,366.46,366.48,68783
2020-12-10 16:10:00,366.45,366.58,366.41,366.51,2651850
2020-12-10 16:11:00,366.51,366.57,366.51,366.55,6762
2020-12-10 16:12:00,366.54,366.64,366.52,366.64,41236
2020-12-10 16:13:00,366.64,366.73,366.52,366.52,65265
2020-12-10 16:14:00,366.54,366.54,366.34,366.41,30822
2020-12-10 16:15:00,366.42,366.54,366.33,366.33,91847
2020-12-10 16:16:00,366.41,366.41,366.21,366.25,19706
2020-12-10 16:17:00,366.29,366.3,366.24,366.3,7798
2020-12-10 16:18:00,366.3,366.3,366.29,366.3,9916
2020-12-10 16:19:00,366.3,366.34,366.29,366.32,14057
2020-12-10 16:20:00,366.34,366.34,366.3,366.31,3409
2020-12-10 16:21:00,366.3,366.32,366.3,366.3,5638
2020-12-10 16:22:00,366.32,366.37,366.32,366.32,3910
2020-12-10 16:23:00,366.32,366.32,366.3,366.3,4102
2020-12-10 16:24:00,366.3,366.31,366.21,366.25,18399
2020-12-10 16:25:00,366.26,366.3,366.25,366.3,4794
2020-12-10 16:26:00,366.3,366.3,366.18,366.2,29399
2020-12-10 16:27:00,366.2,366.26,366.2,366.21,5039
2020-12-10 16:28:00,366.22,366.25,366.2,366.2,3607
2020-12-10 16:29:00,366.25,366.25,366.22,366.22,4689
2020-12-10 16:30:00,366.24,366.26,366.22,366.25,6419
2020-12-10 16:31:00,366.25,366.51,366.25,366.47,38435
